country,climate,natural_resources,population_distribution,net_migration_per_1000_population,age_0_14_percent,age_15_24_percent,age_25_54_percent,age_55_64_percent,age_65_over_percent,language,govt_type,legal_system,gdp_purchasing_power_global_rank,gdp_growth_global_rank,electricity_access_percent,electricity_generating_capacity_global_rank,internet_access_percent,cell_phone_per_100,military_spending_annual_percent_gdp,transnational_disputes
Syria,"mostly desert; hot, dry, sunny summers (June to August) and mild, rainy winters (December to February) along coast; cold weather with snow or sleet periodically in Damascus",petroleum,"significant population density along the Mediterranean coast; larger concentrations found in the major cities of Damascus, Aleppo (the country's largest city), and Hims (Homs); more than half of the population lives in the coastal plain, the province of Halab, and the Euphrates River valley
note: the ongoing civil war has altered the population distribution",27.1,33.47,19.34,37.31,5.41,4.46,Arabic,presidential republic; highly authoritarian regime,mixed legal system of civil and Islamic (sharia) law (for family courts),110.0,224.0,92.0,64.0,34.25,97.0,None,"Golan Heights is Israeli-controlled with an almost 1,000-strong UN Disengagement Observer Force patrolling a buffer zone since 1964"
Taiwan,tropical; marine; rainy season during southwest monsoon (June to August); persistent and extensive cloudiness all year,coal,"distribution exhibits a peripheral coastal settlement pattern, with the largest populations on the north and west coasts",0.8,12.42,11.62,45.51,14.73,15.72,Mandarin Chinese,semi-presidential republic,civil law system,22.0,119.0,0.0,22.0,92.78,125.0,1.7000000000000002,"involved in complex dispute with Brunei, China, Malaysia, the Philippines, and Vietnam over the Spratly Islands, and with China and the Philippines over Scarborough Reef"
Tajikistan,"mid-latitude continental, hot summers, mild winters; semiarid to polar in Pamir Mountains",hydropower,"the country's population is concentrated at lower elevations, with perhaps as much as 90% of the people living in valleys; overall density increases from east to west",-1.1,31.43,18.13,40.58,6.23,3.63,Tajik,presidential republic,civil law system,135.0,19.0,100.0,78.0,21.96,111.0,1.22,"in 2006, China and Tajikistan pledged to commence demarcation of the revised boundary agreed to in the delimitation of 2002"
Tanzania,varies from tropical along coast to temperate in highlands,hydropower,"the largest and most populous East African country; population distribution is extremely uneven, but greater population clusters occur in the northern half of country and along the east coast",-0.4,42.7,20.39,30.31,3.52,3.08,Kiswahili or Swahili,presidential republic,English common law; judicial review of legislative acts limited to matters of interpretation,75.0,34.0,33.0,124.0,25.0,78.0,1.3,dispute with Tanzania over the boundary in Lake Nyasa (Lake Malawi) and the meandering Songwe River
Thailand,"tropical; rainy, warm, cloudy southwest monsoon (mid-May to September); dry, cool northeast monsoon (November to mid-March); southern isthmus always hot and humid",tin,"highest population density is found in and around Bangkok; significant population clusters found througout large parts of the country, particularly north and northeast of Bangkok and in the extreme southern region of the country",0.0,16.45,13.02,45.69,13.01,11.82,Thai  only,constitutional monarchy,civil law system with common law influences,20.0,84.0,100.0,24.0,56.82,182.0,1.3,separatist violence in Thailand's predominantly Malay-Muslim southern provinces prompt border closures and controls with Malaysia to stem insurgent activities
Timor-Leste,"tropical; hot, humid; distinct rainy and dry seasons",gold,"most of the population concentrated in the western third of the country, particularly around Dili",-3.9,39.96,20.32,30.44,5.22,4.06,Tetun Prasa,semi-presidential republic,"civil law system based on the Portuguese model; note - penal and civil law codes to replace the Indonesian codes were passed by Parliament and promulgated in 2009 and 2011, respectively",166.0,216.0,63.4,215.0,27.49,111.0,1,"three stretches of land borders with Indonesia have yet to be delimited, two of which are in the Oecussi exclave area, and no maritime or Economic Exclusion Zone boundaries have been established between the countries"
Togo,"tropical; hot, humid in south; semiarid in north",phosphates,"one of the more densely populated African nations with most of the population residing in rural communities, density is highest in the south on or near the Atlantic coast",0.0,39.73,19.03,33.26,4.42,3.5700000000000003,French,presidential republic,customary law system,155.0,66.0,36.0,164.0,12.36,75.0,3.1,"in 2001, Benin claimed Togo moved boundary monuments - joint commission continues to resurvey the boundary"
Tokelau,tropical; moderated by trade winds (April to November),NEGL,the country's small population is fairly evenly distributed amongst the three atolls,0.0,0.0,0.0,0.0,0.0,0.0,Tokelauan,parliamentary democracy under a constitutional monarchy,common law system of New Zealand,229.0,0.0,0.0,0.0,60.2,0.0,None,Tokelau included American Samoa's Swains Island (Olosega) in its 2006 draft independence constitution
Tonga,"tropical; modified by trade winds; warm season (December to May), cool season (May to December)",arable land,over two-thirds of the population lives on the island of Tongatapu; only 45 of the nation's 171 islands are occupied,-17.9,32.0,19.66,35.35,6.17,6.83,Tongan and English,constitutional monarchy,English common law,211.0,134.0,97.0,204.0,41.25,101.0,None,maritime boundary dispute with Fiji
Trinidad And Tobago,tropical; rainy season (June to December),petroleum,"population on Trinidad is concentrated in the western half of the island, on Tobago in the southern half",-5.4,19.01,11.28,43.77,13.83,12.11,English,parliamentary republic,English common law; judicial review of legislative acts in the Supreme Court,115.0,210.0,100.0,104.0,77.33,162.0,0.7000000000000001,Barbados and Trinidad and Tobago abide by the April 2006 Permanent Court of Arbitration decision delimiting a maritime boundary and limiting catches of flying fish in Trinidad and Tobago's EEZ
Tunisia,"temperate in north with mild, rainy winters and hot, dry summers; desert in south",petroleum,the overwhelming majority of the population is located in the northern half of the country; the south remains largely underpopulated,-1.4,25.28,12.9,42.85,10.12,8.86,Arabic,parliamentary republic,"mixed legal system of civil law, based on the French civil code and Islamic (sharia) law; some judicial review of legislative acts in the Supreme Court in joint session",78.0,155.0,100.0,77.0,64.19,128.0,2.6,none
Turkey,"temperate; hot, dry summers with mild, wet winters; harsher in interior",coal,"the most densely populated area is found around the Bosporus in the northwest where 20% of the population lives in Istanbul; with the exception of Ankara, urban centers remain small and scattered throughout the interior of Anatolia; an overall pattern of peripheral development exists, particularly along the Aegean Sea coast in the west, and the Tigris and Euphrates River systems in the southeast",-4.3,23.41,15.67,43.31,9.25,8.35,Turkish,presidential republic,"civil law system based on various European legal systems, notably the Swiss civil code",13.0,16.0,100.0,15.0,71.04,99.0,1.8900000000000001,"complex maritime, air, and territorial disputes with Greece in the Aegean Sea"
Turkmenistan,subtropical desert,petroleum,"the most densely populated areas are the southern, eastern, and northeastern oases; approximately 50% of the population lives in and around the capital of Ashgabat",-1.7000000000000002,25.44,16.48,44.14,8.56,5.38,Turkmen,presidential republic; authoritarian,civil law system with Islamic (sharia) law influences,84.0,30.0,100.0,88.0,21.25,160.0,None,cotton monoculture in Uzbekistan and Turkmenistan creates water-sharing difficulties for Amu Darya river states
Turks And Caicos Islands,tropical; marine; moderated by trade winds; sunny and relatively dry,spiny lobster,"eight of the thirty islands are inhabited; the island of Providenciales is the most populated, but the most densely populated is Grand Turk",8.9,21.33,13.19,52.51,7.8100000000000005,5.17,English,parliamentary democracy,mixed legal system of English common law and civil law,210.0,4.0,95.7,183.0,0.0,0.0,None,have received Haitians fleeing economic and civil disorder
Tuvalu,tropical; moderated by easterly trade winds (March to November); westerly gales and heavy rain (November to March),fish,over half of the population resides on the atoll of Funafuti,-6.5,29.42,17.61,37.17,9.12,6.68,Tuvaluan,parliamentary democracy under a constitutional monarchy; a Commonwealth realm,mixed legal system of English common law and local customary law,226.0,107.0,99.4,212.0,49.32,69.0,None,none
Uganda,"tropical; generally rainy with two dry seasons (December to February, June to August); semiarid in northeast",copper,"population density is relatively high in comparison to other African nations; most of the population is concentrated in the central and southern parts of the country, particularly along the shores of Lake Victoria and Lake Albert; the northeast is least populated",-3.5,48.21,20.25,26.24,2.91,2.38,English,presidential republic,mixed legal system of English common law and customary law,89.0,59.0,20.0,127.0,23.71,60.0,2.1,"Uganda is subject to armed fighting among hostile ethnic groups, rebels, armed gangs, militias, and various government forces that extend across its borders"
Ukraine,"temperate continental; Mediterranean only on the southern Crimean coast; precipitation disproportionately distributed, highest in west and north, lesser in east and southeast; winters vary from cool along the Black Sea to cold farther inland; warm summers across the greater part of the country, hot in the south",iron ore,"densest settlement in the eastern (Donbas) and western regions; noteable concentrations in and around major urban areas of Kyiv, Kharkiv, Donets'k, Dnipropetrovs'k, and Odesa",2.3,16.16,9.28,43.66,13.87,17.03,Ukrainian,semi-presidential republic,civil law system; judicial review of legislative acts,50.0,135.0,100.0,20.0,58.89,123.0,3.9,"1997 boundary delimitation treaty with Belarus remains unratified due to unresolved financial claims, stalling demarcation and reducing border security"
United Arab Emirates,desert; cooler in eastern mountains,petroleum,"population is heavily concentrated to the northeast on the Musandam Peninsula; the three largest emirates - Abu Dhabi, Dubai, and Sharjah - are home to nearly 85% of the population",7.6,14.45,7.94,68.03,7.68,1.9,Arabic,federation of monarchies,mixed legal system of Islamic (sharia) law and civil law,32.0,188.0,100.0,33.0,98.45,207.0,5.7,"boundary agreement was signed and ratified with Oman in 2003 for entire border, including Oman's Musandam Peninsula and Al Madhah enclaves, but contents of the agreement and detailed maps showing the alignment have not been published"
United Kingdom,temperate; moderated by prevailing southwest winds over the North Atlantic Current; more than one-half of the days are overcast,coal,"the core of the population lies in and around London, with significant clusters found in central Britain around Manchester and Liverpool, in the Scotish lowlands between Endinburgh and Glasgow, southern Wales in and around Cardiff, and far eastern Northern Ireland centered on Belfast",2.5,17.63,11.49,39.67,12.73,18.48,English,parliamentary constitutional monarchy; a Commonwealth realm,common law system; has nonbinding judicial review of Acts of Parliament under the Human Rights Act of 1998,9.0,166.0,100.0,13.0,94.9,122.0,2.14,"in 2002, Gibraltar residents voted overwhelmingly by referendum to reject any ""shared sovereignty"" arrangement between the UK and Spain"
United States,"mostly temperate, but tropical in Hawaii and Florida, arctic in Alaska, semiarid in the great plains west of the Mississippi River, and arid in the Great Basin of the southwest; low winter temperatures in the northwest are ameliorated occasionally in January and February by warm chinook winds from the eastern slopes of the Rocky Mountains",coal,"large urban clusters are spread throughout the eastern half of the US (particularly the Great Lakes area, northeast, east, and southeast) and the western tier states; mountainous areas, principally the Rocky Mountains and Appalachian chain, deserts in the southwest, the dense boreal forests in the extreme north, and the central prarie states are less densely populated; Alaska's population is concentrated along its southern coast - with particular emphasis on the city of Anchorage - and Hawaii's is centered on the island of Oahu",3.0,18.46,12.91,38.92,12.86,16.85,English only,constitutional federal republic,"common law system based on English common law at the federal level; state legal systems based on common law, except Louisiana, where state law is based on Napoleonic civil code; judicial review of legislative acts",2.0,145.0,100.0,2.0,87.27,129.0,3.42,"the US has intensified domestic security measures and is collaborating closely with its neighbors, Canada and Mexico, to monitor and control legal and illegal personnel, transport, and commodities across the international borders"
Uruguay,warm temperate; freezing temperatures almost unknown,arable land,"most of the country's population resides in the southern half of the country; approximately 80% of the populace is urban, living in towns or cities; nearly half of the population lives in and around the capital of Montevideo",-0.9,19.51,15.14,39.86,10.79,14.71,Spanish,presidential republic,civil law system based on the Spanish civil code,96.0,127.0,100.0,81.0,68.28,153.0,2,"in 2010, the ICJ ruled in favor of Uruguay's operation of two paper mills on the Uruguay River, which forms the border with Argentina"
Uzbekistan,"mostly mid-latitude desert, long, hot summers, mild winters; semiarid grassland in east",natural gas,"most of the population is concentrated in the fertile Fergana Valley in the easternmost arm of the country; the south has significant clusters of people, while the central and western deserts are sparsely populated",-1.9,23.19,16.63,45.68,8.63,5.87,Uzbek,presidential republic; highly authoritarian,civil law system,63.0,44.0,100.0,54.0,52.31,77.0,4,prolonged drought and cotton monoculture in Uzbekistan and Turkmenistan created water-sharing difficulties for Amu Darya river states
Vanuatu,tropical; moderated by southeast trade winds from May to October; moderate rainfall from November to April; may be affected by cyclones from December to April,manganese,"three-quarters of the population lives in rural areas; the urban populace lives primarily in two cities, Port-Vila and Lugenville; three largest islands - Espiritu Santo, Malakula, and Efate - accomodate over half of the populace",-1.3,33.65,19.99,36.09,5.89,4.39,local languages,parliamentary republic,"mixed legal system of English common law, French law, and customary law",207.0,73.0,57.8,199.0,25.72,87.0,None,Matthew and Hunter Islands east of New Caledonia claimed by Vanuatu and France
Venezuela,"tropical; hot, humid; more moderate in highlands",petroleum,"most of the population is concentrated in the northern and western highlands along an eastern spur at the northern end of the Andes, an area that includes the capital of Caracas",-3.4,25.66,16.14,41.26,8.76,8.18,Spanish,federal presidential republic,civil law system based on the Spanish civil code,47.0,222.0,99.6,32.0,72.0,70.0,0.49,"claims all of the area west of the Essequibo River in Guyana, preventing any discussion of a maritime boundary"
Vietnam,"tropical in south; monsoonal in north with hot, rainy season (May to September) and warm, dry season (October to March)",antimony,"though it has one of the highest population densities in the world, the population is not evenly dispersed; clustering is heaviest along the South China Sea and Gulf of Tonkin, with the Mekong Delta (in the south) and the Red River Valley (in the north) having the largest concentrations of people",-0.30000000000000004,22.61,15.22,45.7,9.55,6.91,Vietnamese,communist state,civil law system; note - the civil code of 2005 reflects a European-style civil law,35.0,25.0,99.0,25.0,70.35,145.0,2.3,southeast Asian states have enhanced border surveillance to check the spread of Asian swine fever
Virgin Islands,"subtropical, tempered by easterly trade winds, relatively low humidity, little seasonal temperature variation; rainy season September to November",pleasant climate,"while overall population density throughout the islands is relatively low, concentrations appear around Charlotte Amalie on St. Thomas and Christiansted on St. Croix",-7.5,19.9,10.32,36.43,14.16,19.19,English,"republican form of government with separate executive, legislative, and judicial branches; unincorporated organized territory of the US with local self-government",US common law,181.0,185.0,100.0,157.0,64.38,0.0,None,none
Wake Island,tropical,None,0,0.0,0.0,0.0,0.0,0.0,0.0,None,0,US common law,0.0,0.0,0.0,0.0,0.0,0.0,None,claimed by Marshall Islands
Wallis And Futuna,"tropical; hot, rainy season (November to April); cool, dry season (May to October); rains 250-300 cm per year (80% humidity); average temperature 26.6 degrees Celsius",NEGL,0,-4.3,20.58,14.72,43.55,9.92,11.23,Wallisian,parliamentary democracy (Territorial Assembly); overseas collectivity of France,French civil law,225.0,0.0,0.0,0.0,22.1,0.0,None,none
West Bank,"temperate; temperature and precipitation vary with altitude, warm to hot summers, cool to mild winters",arable land,"Palestinian settlements are primarily located in the central to western half of the territory; Jewish settlements are found in pockets throughout, particularly in the northeast, north-central, and around Jerusalem",-4.2,35.31,20.75,35.19,5.12,3.62,Arabic,0,0,147.0,45.0,100.0,170.0,57.4,76.0,None,the current status of the West Bank is subject to the Israeli-Palestinian Interim Agreement - permanent status to be determined through further negotiation
Western Sahara,"hot, dry desert; rain is rare; cold offshore air currents produce fog and heavy dew",phosphates,most of the population lives in the two-thirds of the area west of the berm (Moroccan-occupied) that divides the territory; about 40% of that populace resides in Laayoune,4.9,36.29,19.44,34.9,5.27,4.1,Standard Arabic,"legal status of territory and issue of sovereignty unresolved; territory contested by Morocco and Polisario Front (Popular Front for the Liberation of the Saguia el Hamra and Rio de Oro), which in February 1976 formally proclaimed a government-in-exile of the Sahrawi Arab Democratic Republic (SADR), near Tindouf, Algeria, led by President Mohamed ABDELAZIZ until his death in May 2016; current President Brahim GHALI elected in July 2016; territory partitioned between Morocco and Mauritania in April 1976 when Spain withdrew, with Morocco acquiring northern two-thirds; Mauritania, under pressure from Polisario guerrillas, abandoned all claims to its portion in August 1979; Morocco moved to occupy that sector shortly thereafter and has since asserted administrative control; the Polisario's government-in-exile was seated as an Organization of African Unity (OAU) member in 1984; Morocco between 1980 and 1987 built a fortified sand berm delineating the roughly 75% of Western Sahara west of the barrier that currently is controlled by Morocco; guerrilla activities continued sporadically until a UN-monitored cease-fire was implemented on 6 September 1991 (Security Council Resolution 690) by the United Nations Mission for the Referendum in Western Sahara (MINURSO)",0,205.0,0.0,0.0,188.0,0.0,0.0,None,many neighboring states reject Moroccan administration of Western Sahara
Yemen,"mostly desert; hot and humid along west coast; temperate in western mountains affected by seasonal monsoon; extraordinarily hot, dry, harsh desert in east",petroleum,"the vast majority of the population is found in the Asir Mountains (part of the larger Sarawat Mountain system), located in the far western region of the country",-0.2,39.16,21.26,32.78,4.0,2.8,Arabic,in transition,"mixed legal system of Islamic (sharia) law, Napoleonic law, English common law, and customary law",98.0,219.0,47.0,116.0,26.72,53.0,3.98,Saudi Arabia has reinforced its concrete-filled security barrier along sections of the fully demarcated border with Yemen to stem illegal cross-border activities
Zambia,tropical; modified by altitude; rainy season (October to April),copper,"one of the highest levels of urbanization in Africa; high density in the central area, particularly around the cities of Lusaka, Ndola, Kitwe, and Mufulira",0.0,45.74,20.03,28.96,3.01,2.27,Bemba,presidential republic,mixed legal system of English common law and customary law,102.0,103.0,33.0,107.0,14.3,94.0,1.2,"in 2004, Zimbabwe dropped objections to plans between Botswana and Zambia to build a bridge over the Zambezi River, thereby de facto recognizing a short, but not clearly delimited, Botswana-Zambia boundary in the river"
Zimbabwe,tropical; moderated by altitude; rainy season (November to March),coal,"Aside from major urban agglomerations in Harare and Bulawayo, population distribution is fairly even, with slightly greater overall numbers in the eastern half",-5.0,38.32,20.16,32.94,4.07,4.52,Shona,presidential republic,"mixed legal system of English common law, Roman-Dutch civil law, and customary law",127.0,93.0,34.0,111.0,27.06,92.0,1,"Namibia has supported, and in 2004 Zimbabwe dropped objections to, plans between Botswana and Zambia to build a bridge over the Zambezi River, thereby de facto recognizing a short, but not clearly delimited, Botswana-Zambia boundary in the river"
European Union,cold temperate; potentially subarctic in the north to temperate; mild wet winters; hot dry summers in the south,iron ore,"population distribution varies considerably from country to country, but tends to follow a pattern of coastal and river settlement, with urban agglomerations forming large hubs facilitating large scale housing, industry, and commerce; the area in and around the Netherlands, Belgium, and Luxembourg (known collectively as Benelux), is the most densely populated area in the EU",2.2,15.05,10.39,40.54,13.52,20.5,Bulgarian,0,"unique supranational law system in which, according to an interpretive declaration of member-state governments appended to the Treaty of Lisbon, ""the Treaties and the law adopted by the Union on the basis of the Treaties have primacy over the law of Member States"" under conditions laid down in the case law of the Court of Justice; key principles of EU law include fundamental rights as guaranteed by the Charter of Fundamental Rights and as resulting from constitutional traditions common to the EU's 27-member states; EU law is divided into 'primary' and 'secondary' legislation; primary legislation is derived from the consolidated versions of the Treaty on European Union and the Treaty on the Functioning of the European Union and are the basis for all EU action; secondary legislation - which includes directives, regulations, and decisions - is derived from the principles and objectives set out in the treaties",0.0,0.0,0.0,0.0,85.0,121.0,1.5,"as a political union, the EU has no border disputes with neighboring countries, but Estonia has no land boundary agreements with Russia, Slovenia disputes its land and maritime boundaries with Croatia, and Spain has territorial and maritime disputes with Morocco and with the UK over Gibraltar"
