country,climate,natural_resources,population_distribution,net_migration_per_1000_population,age_0_14_percent,age_15_24_percent,age_25_54_percent,age_55_64_percent,age_65_over_percent,language,govt_type,legal_system,gdp_purchasing_power_global_rank,gdp_growth_global_rank,electricity_access_percent,electricity_generating_capacity_global_rank,internet_access_percent,cell_phone_per_100,military_spending_annual,transnational_disputes
Bangladesh,"tropical; mild winter (October to March); hot, humid summer (March to June); humid, warm rainy monsoon (June to October)","['natural gas', 'arable land', 'timber', 'coal']",,-3.0,26.48,18.56,40.72,7.41,6.82,"[{'name': 'Bangla', 'percent': 98.8, 'note': 'official, also known as Bengali'}, {'name': 'other', 'percent': 1.2}]",parliamentary republic,mixed legal system of mostly English common law and Islamic law,33.0,13.0,75.9,56.0,15.0,101.0,"[{'value': 1.3, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 1.3, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 1.2, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 1.4, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 1.4, 'units': 'percent_of_gdp', 'date': '2015'}]","['Bangladesh referred its maritime boundary claims with Burma and India to the International Tribunal on the Law of the Sea', ""Indian Prime Minister Singh's September 2011 visit to Bangladesh resulted in the signing of a Protocol to the 1974 Land Boundary Agreement between India and Bangladesh, which had called for the settlement of longstanding boundary disputes over undemarcated areas and the exchange of territorial enclaves, but which had never been implemented"", ""Bangladesh struggles to accommodate 912,000 Rohingya, Burmese Muslim minority from Rakhine State, living as refugees in Cox's Bazar"", 'Burmese border authorities are constructing a 200 km (124 mi) wire fence designed to deter illegal cross-border transit and tensions from the military build-up along border']"
Barbados,tropical; rainy season (June to October),"['petroleum', 'fish', 'natural gas']",most densely populated country in the eastern Caribbean; approximately one-third live in urban areas,-0.30000000000000004,17.49,12.34,42.69,13.91,13.57,"[{'name': 'English', 'note': 'official'}, {'name': 'Bajan', 'note': 'English-based creole language, widely spoken in informal settings'}]",parliamentary democracy under a constitutional monarchy; a Commonwealth realm,English common law; no judicial review of legislative acts,178.0,199.0,100.0,162.0,81.76,112.0,,"[""Barbados and Trinidad and Tobago abide by the April 2006 Permanent Court of Arbitration decision delimiting a maritime boundary and limiting catches of flying fish in Trinidad and Tobago's exclusive economic zone"", ""joins other Caribbean states to counter Venezuela's claim that Aves Island sustains human habitation, a criterion under the UN Convention on the Law of the Sea, which permits Venezuela to extend its Economic Exclusion Zone/continental shelf over a large portion of the eastern Caribbean Sea""]"
Belarus,"cold winters, cool and moist summers; transitional between continental and maritime","['timber', 'peat deposits', 'small quantities of oil', 'natural gas', 'granite', 'dolomitic limestone', 'marl', 'chalk', 'sand', 'gravel', 'clay']","a fairly even distribution throughout most of the country, with urban areas attracting larger and denser populations",0.7000000000000001,16.09,9.59,43.94,14.45,15.93,"[{'name': 'Russian', 'percent': 70.2, 'note': 'official'}, {'name': 'Belarusian', 'percent': 23.4, 'note': 'official'}, {'name': 'other', 'percent': 3.1, 'note': 'includes small Polish- and Ukrainian-speaking minorities'}, {'name': 'unspecified', 'percent': 3.3}]","presidential republic in name, although in fact a dictatorship","civil law system; note - nearly all major codes (civil, civil procedure, criminal, criminal procedure, family, and labor) were revised and came into force in 1999 and 2000",70.0,136.0,100.0,59.0,79.13,122.0,"[{'value': 1.2, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 1.2, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 1.2, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 1.3, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 1.3, 'units': 'percent_of_gdp', 'date': '2015'}]","['boundary demarcated with Latvia and Lithuania', ""as a member state that forms part of the EU's external border, Poland has implemented strict Schengen border rules to restrict illegal immigration and trade along its border with Belarus""]"
Belgium,"temperate; mild winters, cool summers; rainy, humid, cloudy","['construction materials', 'silica sand', 'carbonates', 'arable land']",most of the population concentrated in the northern two-thirds of the country; the southeast is more thinly populated; considered to have one of the highest population densities in the world; approximately 97% live in urban areas,4.8,17.22,11.2,39.23,13.14,19.21,"[{'name': 'Dutch', 'percent': 60, 'note': 'official'}, {'name': 'French', 'percent': 40, 'note': 'official'}, {'name': 'German  less than', 'percent': 1, 'note': 'official'}]",federal parliamentary democracy under a constitutional monarchy,civil law system based on the French Civil Code; note - Belgian law continues to be modified in conformance with the legislative norms mandated by the European Union; judicial review of legislative acts,37.0,162.0,100.0,41.0,88.66,99.0,"[{'value': 0.93, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 0.93, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 0.9, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 0.91, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 0.92, 'units': 'percent_of_gdp', 'date': '2015'}]",['none']
Belize,tropical; very hot and humid; rainy season (May to November); dry season (February to May),"['arable land potential', 'timber', 'fish', 'hydropower']","approximately 25% to 30% of the population lives in the former capital, Belize City; over half of the overall population is rural; population density is slightly higher in the north and east",-1.0,32.57,19.0,37.72,6.18,4.53,"[{'name': 'English', 'percent': 62.9, 'note': 'official'}, {'name': 'Spanish', 'percent': 56.6}, {'name': 'Creole', 'percent': 44.6}, {'name': 'Maya', 'percent': 10.5}, {'name': 'German', 'percent': 3.2}, {'name': 'Garifuna', 'percent': 2.9}, {'name': 'other', 'percent': 1.8}, {'name': 'unknown', 'percent': 0.30000000000000004}, {'name': 'none', 'percent': 0.2, 'note': 'cannot speak'}]",parliamentary democracy (National Assembly) under a constitutional monarchy; a Commonwealth realm,English common law,187.0,186.0,92.2,165.0,47.08,85.0,"[{'value': 1.2, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 1.26, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 1.58, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 1.17, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 1.09, 'units': 'percent_of_gdp', 'date': '2015'}]","[""Guatemala persists in its territorial claim to approximately half of Belize, but agrees to the Line of Adjacency to keep Guatemalan squatters out of Belize's forested interior"", 'both countries agreed in April 2012 to hold simultaneous referenda, scheduled for 6 October 2013, to decide whether to refer the dispute to the ICJ for binding resolution, but this vote was suspended indefinitely', 'Belize and Mexico are working to solve minor border demarcation discrepancies arising from inaccuracies in the 1898 border treaty']"
Benin,"tropical; hot, humid in south; semiarid in north","['small offshore oil deposits', 'limestone', 'marble', 'timber']","the population is primarily located in the south, with the highest concentration of people residing in and around the cities on the Atlantic coast; most of the north remains sparsely populated with higher concentrations of residents in the west",0.30000000000000004,45.56,20.36,28.54,3.15,2.39,"[{'name': 'French', 'note': 'official'}, {'name': 'Fon and Yoruba', 'note': 'most common vernaculars in south'}, {'name': 'tribal languages', 'note': 'at least six major ones in north'}]",presidential republic,civil law system modeled largely on the French system and some customary law,141.0,38.0,41.4,158.0,20.0,79.0,"[{'value': 0.7000000000000001, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 0.86, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 1.26, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 1.1400000000000001, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 1.1, 'units': 'percent_of_gdp', 'date': '2015'}]","['talks continue between Benin and Togo on funding the Adjrala hydroelectric dam on the Mona River', 'Benin retains a border dispute with Burkina Faso near the town of Koualou', 'location of Benin-Niger-Nigeria tripoint is unresolved']"
Bermuda,"subtropical; mild, humid; gales, strong winds common in winter","['limestone', 'pleasant climate fostering tourism']",relatively even population distribution throughout,1.6,16.7,11.88,35.31,16.37,19.74,"[{'name': 'English', 'note': 'official'}, {'name': 'Portuguese'}]",parliamentary democracy; self-governing overseas territory of the UK,English common law,172.0,198.0,100.0,169.0,98.0,92.0,,['none']
Bhutan,varies; tropical in southern plains; cool winters and hot summers in central valleys; severe winters and cool summers in Himalayas,"['timber', 'hydropower', 'gypsum', 'calcium carbonate']",,0.0,24.52,17.77,44.72,6.39,6.6,"[{'name': 'Sharchhopka', 'percent': 28}, {'name': 'Dzongkha', 'percent': 24, 'note': 'official'}, {'name': 'Lhotshamkha', 'percent': 22}, {'name': 'other', 'percent': 26, 'note': 'includes foreign languages'}]",constitutional monarchy,civil law based on Buddhist religious law,167.0,14.0,100.0,120.0,48.11,92.0,,"[""lacking any treaty describing the boundary, Bhutan and China continue negotiations to establish a common boundary alignment to resolve territorial disputes arising from substantial cartographic discrepancies, the most contentious of which lie in Bhutan's west along China’s Chumbi salient""]"
Bolivia,varies with altitude; humid and tropical to cold and semiarid,"['tin', 'natural gas', 'petroleum', 'zinc', 'tungsten', 'antimony', 'silver', 'iron', 'lead', 'gold', 'timber', 'hydropower']","a high altitude plain in the west between two cordillera of the Andes, known as the Altiplano, is the focal area for most of the population; a dense settlement pattern is also found in and around the city of Santa Cruz, located on the eastern side of the Andes",-0.30000000000000004,30.34,19.21,38.68,6.06,5.71,"[{'name': 'Spanish', 'percent': 60.7, 'note': 'official'}, {'name': 'Quechua', 'percent': 21.2, 'note': 'official'}, {'name': 'Aymara', 'percent': 14.6, 'note': 'official'}, {'name': 'Guarani', 'percent': 0.6000000000000001, 'note': 'official'}, {'name': 'other native languages', 'percent': 0.4}, {'name': 'foreign languages', 'percent': 2.4}, {'name': 'none', 'percent': 0.1}]",presidential republic,"civil law system with influences from Roman, Spanish, canon (religious), French, and indigenous law",94.0,70.0,93.0,101.0,43.83,101.0,"[{'value': 1.4, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 1.5, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 1.5, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 1.6, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 1.7000000000000002, 'units': 'percent_of_gdp', 'date': '2015'}]","[""Chile and Peru rebuff Bolivia's reactivated claim to restore the Atacama corridor, ceded to Chile in 1884, but Chile offers instead unrestricted but not sovereign maritime access through Chile for Bolivian products"", 'contraband smuggling, human trafficking, and illegal narcotic trafficking are problems in the porous areas of its border regions with all of its neighbors (Argentina, Brazil, Chile, Paraguay, and Peru)']"
Bosnia And Herzegovina,"hot summers and cold winters; areas of high elevation have short, cool summers and long, severe winters; mild, rainy winters along coast","['coal', 'iron ore', 'antimony', 'bauxite', 'copper', 'lead', 'zinc', 'chromite', 'cobalt', 'manganese', 'nickel', 'clay', 'gypsum', 'salt', 'sand', 'timber', 'hydropower']",the northern and central areas of the country are the most densely populated,-0.4,13.18,10.83,44.52,15.24,16.22,"[{'name': 'Bosnian', 'percent': 52.9, 'note': 'official'}, {'name': 'Serbian', 'percent': 30.8, 'note': 'official'}, {'name': 'Croatian', 'percent': 14.6, 'note': 'official'}, {'name': 'other', 'percent': 1.6}, {'name': 'no answer', 'percent': 0.2}]",parliamentary republic,civil law system; Constitutional Court review of legislative acts,113.0,111.0,100.0,83.0,70.12,90.0,"[{'value': 0.9, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 0.9, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 0.9, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 0.9, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 1, 'units': 'percent_of_gdp', 'date': '2015'}]","['Serbia delimited about half of the boundary with Bosnia and Herzegovina, but sections along the Drina River remain in dispute']"
Botswana,semiarid; warm winters and hot summers,"['diamonds', 'copper', 'nickel', 'salt', 'soda ash', 'potash', 'coal', 'iron ore', 'silver']","the population is primarily concentrated in the east with a focus in and around the captial of Gaborone, and the far central-eastern city of Francistown; population density remains low in other areas in the country, especially in the Kalahari to the west",2.9,30.54,18.31,39.67,5.92,5.5600000000000005,"[{'name': 'Setswana', 'percent': 77.3}, {'name': 'Sekalanga', 'percent': 7.4}, {'name': 'Shekgalagadi', 'percent': 3.4}, {'name': 'English', 'percent': 2.8, 'note': 'official'}, {'name': 'Zezuru/Shona', 'percent': 2}, {'name': 'Sesarwa', 'percent': 1.7000000000000002}, {'name': 'Sembukushu', 'percent': 1.6}, {'name': 'Ndebele', 'percent': 1}, {'name': 'other', 'percent': 2.8}]",parliamentary republic,mixed legal system of civil law influenced by the Roman-Dutch model and also customary and common law,121.0,137.0,60.7,135.0,47.0,150.0,"[{'value': 2.8, 'units': 'percent_of_gdp', 'date': '2019'}, {'value': 2.7800000000000002, 'units': 'percent_of_gdp', 'date': '2018'}, {'value': 3.02, 'units': 'percent_of_gdp', 'date': '2017'}, {'value': 3.37, 'units': 'percent_of_gdp', 'date': '2016'}, {'value': 2.66, 'units': 'percent_of_gdp', 'date': '2015'}]",['none']
